E/N_Td,x_Ar,Te_eff_ref,k_iz_ref,k_att_ref,k_diss_ref,Te_eff_pred,k_iz_pred,k_att_pred,k_diss_pred,Te_eff_rel_err,k_iz_rel_err,k_att_rel_err,k_diss_rel_err
275,0.3,3.425944e+00,2.344924e-18,1.182374e-15,6.442652e-14,3.414268e+00,2.563129e-18,1.162686e-15,2.403836e-16,0.0034,0.0931,0.0167,0.9963
275,0.5,3.711816e+00,4.259918e-18,9.647077e-16,6.467500e-14,3.705558e+00,4.568041e-18,9.538327e-16,3.753154e-16,0.0017,0.0723,0.0113,0.9942
275,0.67,3.988421e+00,6.971213e-18,7.920055e-16,6.490668e-14,3.964205e+00,6.817298e-18,7.977369e-16,5.202728e-16,0.0061,0.0221,0.0072,0.9920
300,0,3.202184e+00,1.855647e-18,1.392372e-15,6.425482e-14,3.188059e+00,1.973544e-18,1.373190e-15,1.567971e-16,0.0044,0.0635,0.0138,0.9976
300,0.1,3.319015e+00,2.447547e-18,1.297038e-15,6.436084e-14,3.301268e+00,2.666460e-18,1.280805e-15,2.011741e-16,0.0053,0.0894,0.0125,0.9969
300,0.2,3.439025e+00,3.204839e-18,1.201115e-15,6.447417e-14,3.423024e+00,3.556324e-18,1.185893e-15,2.534747e-16,0.0047,0.1097,0.0127,0.9961
300,0.3,3.563719e+00,4.169609e-18,1.104020e-15,6.458839e-14,3.552070e+00,4.646298e-18,1.090695e-15,3.124455e-16,0.0033,0.1143,0.0121,0.9952
300,0.5,3.835364e+00,6.961297e-18,9.101158e-16,6.481333e-14,3.826439e+00,7.360855e-18,9.082541e-16,4.457179e-16,0.0023,0.0574,0.0020,0.9931
300,0.67,4.096011e+00,1.065326e-17,7.605687e-16,6.502760e-14,4.071965e+00,1.031080e-17,7.689353e-16,5.883230e-16,0.0059,0.0321,0.0110,0.9910
350,0,3.469906e+00,5.558686e-18,1.226764e-15,6.456193e-14,3.455640e+00,6.212376e-18,1.211476e-15,2.789626e-16,0.0041,0.1176,0.0125,0.9957
350,0.1,3.575005e+00,6.842856e-18,1.147418e-15,6.465987e-14,3.560931e+00,7.737574e-18,1.138268e-15,3.350486e-16,0.0039,0.1308,0.0080,0.9948
350,0.2,3.684312e+00,8.392463e-18,1.067115e-15,6.475501e-14,3.672348e+00,9.441606e-18,1.063702e-15,3.932725e-16,0.0032,0.1250,0.0032,0.9939
350,0.3,3.799161e+00,1.026385e-17,9.865320e-16,6.484691e-14,3.789398e+00,1.129320e-17,9.888191e-16,4.520962e-16,0.0026,0.1003,0.0023,0.9930
350,0.5,4.049488e+00,1.526240e-17,8.312432e-16,6.503210e-14,4.038419e+00,1.549697e-17,8.426292e-16,5.758044e-16,0.0027,0.0154,0.0137,0.9911
350,0.67,4.283527e+00,2.124857e-17,7.161883e-16,6.521582e-14,4.264323e+00,2.025773e-17,7.264332e-16,7.200805e-16,0.0045,0.0466,0.0143,0.9890
400,0,3.689699e+00,1.246519e-17,1.107905e-15,6.480583e-14,3.682999e+00,1.376350e-17,1.102808e-15,4.125556e-16,0.0018,0.1042,0.0046,0.9936
400,0.1,3.788204e+00,1.470488e-17,1.039562e-15,6.488469e-14,3.781616e+00,1.629449e-17,1.042637e-15,4.733107e-16,0.0017,0.1081,0.0030,0.9927
